,State,statename,Date,tot_death,tot_cases,new_death,New_case,tot_deaths_per_100k,tot_cases_per_100k,new_deaths_per_100k,new_cases_per_100k,Distributed,Dist_Per_100K,Administered,Admin_Per_100K,Series_Complete_Yes,Series_Complete_Pop_Pct,Additional_Doses,Second_Booster,Administered_Bivalent
0,AK,Alaska,2020-01-22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AK,Alaska,2020-01-29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,Alaska,2020-02-05,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,AK,Alaska,2020-02-12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AK,Alaska,2020-02-19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AK,Alaska,2020-02-26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,AK,Alaska,2020-03-04,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,AK,Alaska,2020-03-11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,AK,Alaska,2020-03-18,0,11,0,11,0.0,1.5037,0.0,1.5037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,AK,Alaska,2020-03-25,1,63,1,52,0.1367,8.6119,0.1367,7.1082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,AK,Alaska,2020-04-01,3,149,2,86,0.4101,20.3679,0.2734,11.7559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,AK,Alaska,2020-04-08,7,235,4,86,0.9569,32.1238,0.5468,11.7559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AK,Alaska,2020-04-15,9,300,2,65,1.2303,41.0091,0.2734,8.8853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,AK,Alaska,2020-04-22,9,337,0,37,1.2303,46.0669,0.0,5.0578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,AK,Alaska,2020-04-29,9,355,0,18,1.2303,48.5274,0.0,2.4605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,AK,Alaska,2020-05-06,10,374,1,19,1.367,51.1247,0.1367,2.5972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,AK,Alaska,2020-05-13,10,389,0,15,1.367,53.1751,0.0,2.0505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,AK,Alaska,2020-05-20,10,404,0,15,1.367,55.2256,0.0,2.0505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,AK,Alaska,2020-05-27,10,427,0,23,1.367,58.3696,0.0,3.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,AK,Alaska,2020-06-03,10,518,0,91,1.367,70.809,0.0,12.4394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,AK,Alaska,2020-06-10,11,616,1,98,1.5037,84.2053,0.1367,13.3963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,AK,Alaska,2020-06-17,12,713,1,97,1.6404,97.465,0.1367,13.2596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,AK,Alaska,2020-06-24,12,821,0,108,1.6404,112.2282,0.0,14.7633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,AK,Alaska,2020-07-01,13,1020,1,199,1.7771,139.4309,0.1367,27.2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,AK,Alaska,2020-07-08,16,1273,3,253,2.1872,174.0153,0.4101,34.5843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,AK,Alaska,2020-07-15,16,1694,0,421,2.1872,231.5647,0.0,57.5494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
